CustomerID,SaleDate,SaleNum,Code,Item Description,Quantity,UnitPrice,Country
12346.0,1/18/2011 10:01,541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.04,United Kingdom
12354.0,4/21/2011 13:11,550911,22668,PINK BABY BUNTING,5,2.95,Spain
12359.0,2/7/2011 14:51,543370,21756,BATH BUILDING BLOCK WORD,3,5.95,Cyprus
12364.0,12/2/2011 10:22,580152,22708,WRAP DOLLY GIRL,25,0.42,Belgium
12391.0,11/18/2011 12:07,577228,22209,WOOD STAMP SET HAPPY BIRTHDAY,1,0.83,Cyprus
12391.0,11/18/2011 12:07,577228,22273,FELTCRAFT DOLL MOLLY,1,2.95,Cyprus
12391.0,11/18/2011 12:07,577228,23126,FELTCRAFT GIRL AMELIE KIT,1,4.95,Cyprus
12407.0,10/21/2011 10:11,572133,21217,RED RETROSPOT ROUND CAKE TINS,3,9.95,Belgium
12415.0,7/19/2011 10:51,560491,23108,SET OF 10 LED DOLLY LIGHTS,1,6.25,Australia
12415.0,7/19/2011 10:51,560491,20725,LUNCH BAG RED RETROSPOT,1,1.65,Australia
12420.0,10/7/2011 8:55,570000,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,Cyprus
12472.0,10/19/2011 11:49,571824,22045,SPACEBOY GIFT WRAP,25,0.42,Germany
12474.0,10/11/2011 12:38,570640,23007, SPACEBOY BABY GIFT SET,1,16.95,Germany
12477.0,8/31/2011 9:11,564856,22325,MOBILE VINTAGE HEARTS ,3,4.95,Germany
12480.0,7/19/2011 14:04,560569,22045,SPACEBOY GIFT WRAP,25,0.42,Germany
12484.0,8/28/2011 13:32,564734,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,3,4.95,Spain
12502.0,2/3/2011 10:41,543055,22427,ENAMEL FLOWER JUG CREAM,3,5.95,Spain
12502.0,8/4/2011 9:55,562273,22847,BREAD BIN DINER STYLE IVORY,1,16.95,Spain
12508.0,11/10/2011 16:27,575692,23210,WHITE ROCKING HORSE HAND PAINTED,1,1.25,France
12531.0,11/25/2011 11:12,578705,22966,GINGERBREAD MAN COOKIE CUTTER,3,1.25,Germany
12536.0,10/11/2011 14:52,570672,84819,DANISH ROSE ROUND SEWING BOX,3,4.25,France
12540.0,11/8/2011 15:38,575144,22111,SCOTTIE DOG HOT WATER BOTTLE,3,4.95,Spain
12556.0,7/11/2011 13:35,559665,21530,DAIRY MAID TOASTRACK,1,0.79,Spain
12561.0,2/10/2011 11:39,543587,21498,RED RETROSPOT WRAP ,25,0.42,Germany
12567.0,5/22/2011 13:01,554097,21936,RED RETROSPOT PICNIC BAG,5,2.95,France
12567.0,12/5/2010 11:57,537065,22846,BREAD BIN DINER STYLE RED ,1,16.95,France
12569.0,10/26/2011 14:39,572895,22776,SWEETHEART 3 TIER CAKE STAND ,3,9.95,Germany
12584.0,6/7/2011 13:00,555843,22849,BREAD BIN DINER STYLE MINT,1,16.95,Italy
12607.0,10/10/2011 16:06,570467,22708,WRAP DOLLY GIRL,25,0.42,USA
12611.0,10/18/2011 13:12,571670,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,5.95,Italy
12637.0,3/21/2011 12:42,547194,20725,LUNCH BAG RED RETROSPOT,3,1.65,France
12712.0,3/16/2011 13:58,546759,20702,PINK PADDED MOBILE,9,4.25,Germany
12720.0,6/23/2011 10:56,557850,21936,RED RETROSPOT PICNIC BAG,5,2.95,Germany
12721.0,9/21/2011 12:26,567618,22046,TEA PARTY  WRAPPING PAPER ,25,0.42,France
12728.0,1/11/2011 13:31,540824,22423,REGENCY CAKESTAND 3 TIER,1,12.75,France
12729.0,8/18/2011 11:40,563662,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,France
12739.0,9/1/2011 17:45,565218,22045,SPACEBOY GIFT WRAP,25,0.42,United Arab Emirates
12743.0,7/28/2011 16:06,561658,23546,WRAP PAISLEY PARK ,25,0.42,Unspecified
12743.0,7/28/2011 16:06,561658,22580,ADVENT CALENDAR GINGHAM SACK,1,5.95,Unspecified
12743.0,7/28/2011 16:21,561661,21931,JUMBO STORAGE BAG SUKI,1,2.08,Unspecified
12748.0,11/8/2011 14:22,575117,22918,HERB MARKER PARSLEY,1,0.65,United Kingdom
12748.0,11/23/2011 13:27,578264,21162,TOXIC AREA  DOOR HANGER ,1,0.39,United Kingdom
12748.0,5/11/2011 13:42,552829,21735,TWO DOOR CURIO CABINET,1,6.0,United Kingdom
12748.0,7/1/2011 12:52,558705,21386,IVORY HANGING DECORATION  EGG,3,0.19,United Kingdom
12748.0,12/7/2010 14:41,537624,21828,EIGHT PIECE SNAKE  SET,1,1.25,United Kingdom
12748.0,12/5/2010 16:41,537225,20764,ABSTRACT CIRCLES SKETCHBOOK ,1,3.75,United Kingdom
12748.0,11/23/2011 11:32,578155,21328,BALLOONS  WRITING SET ,3,1.65,United Kingdom
12748.0,11/25/2011 13:40,578814,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,0.85,United Kingdom
12748.0,11/17/2011 14:26,577057,21719,LOVELY BONBON STICKER SHEET,1,0.85,United Kingdom
12748.0,10/5/2011 12:13,569635,23123,COCKTAIL SWORDS 50 PIECES,1,0.83,United Kingdom
12748.0,12/5/2010 13:05,537155,20754,RETROSPOT RED WASHING UP GLOVES,1,2.1,United Kingdom
12748.0,12/5/2011 11:49,580611,20772,GARDEN PATH JOURNAL,1,2.55,United Kingdom
12748.0,5/6/2011 19:53,552249,22095,LADS ONLY TISSUE BOX,1,1.25,United Kingdom
12748.0,12/10/2010 11:33,538207,21174,POTTERING IN THE SHED METAL SIGN,1,1.95,United Kingdom
12748.0,5/8/2011 15:20,552307,23284,DOORMAT KEEP CALM AND COME IN,1,7.95,United Kingdom
12748.0,11/23/2011 13:57,578285,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1,1.69,United Kingdom
